MatrixName,Size,MemoryDiff,Time,Error
ex15.mat,568315,1744896,0.074086,8.21380186712579e-07
shallow_water1.mat,2316415,391929856,4.116011,3.07688798314864e-16
cfd1.mat,14503159,1370636288,6.991938,2.16641067660319e-13
cfd2.mat,23748539,2703466496,13.407653,6.19326456426195e-13
